Eval num_timesteps=24992, episode_reward=-222.49 +/- 132.07
Eval num_timesteps=49984, episode_reward=-183.65 +/- 84.33
Eval num_timesteps=74976, episode_reward=-186.36 +/- 60.75
Eval num_timesteps=99968, episode_reward=-165.11 +/- 64.87
Eval num_timesteps=124960, episode_reward=-146.10 +/- 31.70
Eval num_timesteps=149952, episode_reward=-79.97 +/- 53.37
Eval num_timesteps=174944, episode_reward=-48.54 +/- 31.94
Eval num_timesteps=199936, episode_reward=15.61 +/- 124.13
Eval num_timesteps=224928, episode_reward=44.00 +/- 135.65
Eval num_timesteps=249920, episode_reward=74.51 +/- 123.33
Eval num_timesteps=274912, episode_reward=89.98 +/- 173.66
Eval num_timesteps=299904, episode_reward=38.66 +/- 149.65
Eval num_timesteps=324896, episode_reward=158.64 +/- 119.70
Eval num_timesteps=349888, episode_reward=219.30 +/- 26.69
Eval num_timesteps=374880, episode_reward=170.19 +/- 120.55
Eval num_timesteps=399872, episode_reward=204.67 +/- 35.62
Eval num_timesteps=424864, episode_reward=76.88 +/- 163.95
Eval num_timesteps=449856, episode_reward=134.28 +/- 157.14
Eval num_timesteps=474848, episode_reward=210.50 +/- 15.60
Eval num_timesteps=499840, episode_reward=193.42 +/- 31.00
Eval num_timesteps=524832, episode_reward=237.56 +/- 17.46
Eval num_timesteps=549824, episode_reward=232.55 +/- 15.13
Eval num_timesteps=574816, episode_reward=241.58 +/- 17.79
Eval num_timesteps=599808, episode_reward=236.21 +/- 29.05
Eval num_timesteps=624800, episode_reward=245.81 +/- 18.00
Eval num_timesteps=649792, episode_reward=245.46 +/- 17.01
Eval num_timesteps=674784, episode_reward=247.26 +/- 19.40
Eval num_timesteps=699776, episode_reward=256.88 +/- 12.49
Eval num_timesteps=724768, episode_reward=195.60 +/- 88.92
Eval num_timesteps=749760, episode_reward=259.11 +/- 21.69
Eval num_timesteps=774752, episode_reward=253.39 +/- 16.83
Eval num_timesteps=799744, episode_reward=260.16 +/- 14.61
Eval num_timesteps=824736, episode_reward=262.60 +/- 14.02
Eval num_timesteps=849728, episode_reward=263.78 +/- 15.95
Eval num_timesteps=874720, episode_reward=262.81 +/- 12.10
Eval num_timesteps=899712, episode_reward=264.06 +/- 21.97
Eval num_timesteps=924704, episode_reward=270.35 +/- 17.22
Eval num_timesteps=949696, episode_reward=238.87 +/- 25.89
Eval num_timesteps=974688, episode_reward=199.36 +/- 84.63
Eval num_timesteps=999680, episode_reward=260.68 +/- 10.48
